               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099501,            0.022573,            0.039872,             0.00388,                   1,            0.032801,             0.01689,            0.055427,            0.017404,            0.027825,              0.0793,              0.0023,              0.0023
                   1,            0.071975,            0.026183,            0.032541,              0.1469,             0.44691,             0.19474,            0.062678,            0.048271,            0.012224,            0.029413,            0.057653,           0.0046535,           0.0046535
                   2,            0.062931,            0.021478,            0.029731,             0.28424,             0.62346,             0.32541,             0.12739,            0.047448,            0.011142,            0.027892,            0.035959,           0.0069594,           0.0069594
                   3,            0.062221,            0.017853,            0.029107,              0.2881,             0.69136,             0.54226,             0.20424,            0.051206,           0.0090202,            0.023515,            0.014218,           0.0092178,           0.0092178
                   4,             0.05906,            0.017928,            0.028451,              0.2535,             0.67681,             0.51912,             0.20583,            0.047644,           0.0081363,            0.022276,            0.009604,            0.009604,            0.009604
                   5,            0.053338,            0.017406,            0.026937,             0.28377,             0.88557,             0.59375,             0.38984,            0.044967,           0.0082151,            0.020229,            0.009604,            0.009604,            0.009604
                   6,            0.047762,            0.014595,            0.025516,             0.70782,             0.48519,             0.47117,             0.26885,            0.037322,           0.0073212,            0.022865,            0.009505,            0.009505,            0.009505
                   7,            0.044073,             0.01375,            0.024072,             0.35541,             0.94444,             0.53785,             0.32382,            0.031717,           0.0067782,            0.018276,            0.009406,            0.009406,            0.009406
                   8,            0.042549,            0.012363,            0.022966,             0.25974,             0.82716,             0.47909,             0.28913,            0.031804,           0.0062866,            0.021138,            0.009307,            0.009307,            0.009307
                   9,            0.040797,            0.012374,             0.02098,              0.3303,             0.97531,             0.54839,             0.38812,            0.031947,           0.0056402,            0.022095,            0.009208,            0.009208,            0.009208
                  10,            0.037231,            0.011555,            0.020899,              0.2823,             0.80247,             0.56157,             0.37721,            0.027359,           0.0055407,            0.024005,            0.009109,            0.009109,            0.009109
                  11,            0.037351,            0.010438,            0.019096,             0.46932,             0.90382,             0.68319,             0.48498,            0.021046,           0.0051585,            0.020462,             0.00901,             0.00901,             0.00901
                  12,            0.034654,             0.01049,            0.018979,             0.39719,             0.84253,             0.77884,             0.56599,            0.022112,           0.0050763,            0.020955,            0.008911,            0.008911,            0.008911
                  13,            0.034951,           0.0099745,            0.017478,             0.53742,             0.76543,             0.77698,             0.56752,            0.025839,            0.005128,            0.025012,            0.008812,            0.008812,            0.008812
                  14,            0.033429,             0.01034,            0.016716,             0.61338,             0.82716,             0.85766,             0.66571,            0.020943,           0.0055025,              0.0156,            0.008713,            0.008713,            0.008713
                  15,            0.032612,           0.0096723,            0.015286,             0.60567,             0.81948,             0.78575,              0.5349,            0.029654,           0.0056606,            0.020435,            0.008614,            0.008614,            0.008614
                  16,            0.031126,           0.0099992,            0.016849,             0.65277,             0.74182,             0.87037,              0.6864,            0.022665,            0.005543,            0.021546,            0.008515,            0.008515,            0.008515
                  17,            0.030825,           0.0096398,            0.015388,             0.91958,             0.73975,             0.92511,              0.6665,            0.023345,           0.0055846,             0.01121,            0.008416,            0.008416,            0.008416
                  18,            0.030061,           0.0092453,            0.014002,             0.87386,             0.74818,             0.94543,             0.69507,            0.021455,           0.0050555,            0.018128,            0.008317,            0.008317,            0.008317
                  19,            0.028763,           0.0096662,            0.013615,             0.78014,             0.90273,             0.95547,             0.72214,            0.025501,           0.0052264,            0.014134,            0.008218,            0.008218,            0.008218
                  20,            0.029558,           0.0090023,            0.012788,             0.84056,             0.80321,             0.95206,             0.70067,            0.023168,           0.0051767,            0.012946,            0.008119,            0.008119,            0.008119
                  21,            0.027366,           0.0085112,            0.012744,              0.7723,             0.77691,             0.86108,             0.63068,             0.02631,           0.0055971,            0.020277,             0.00802,             0.00802,             0.00802
                  22,            0.028507,           0.0092607,            0.013105,             0.81152,             0.50708,             0.79953,             0.65728,            0.017378,            0.005311,            0.031724,            0.007921,            0.007921,            0.007921
                  23,            0.025826,           0.0088187,            0.011792,             0.78474,             0.75208,             0.92118,              0.6313,            0.019397,           0.0052606,            0.023818,            0.007822,            0.007822,            0.007822
                  24,            0.026871,           0.0083958,            0.013364,             0.86147,             0.83178,             0.93365,             0.73711,            0.025744,           0.0048247,            0.012761,            0.007723,            0.007723,            0.007723
                  25,            0.027679,           0.0089469,              0.0105,             0.95547,             0.74074,             0.92858,               0.742,            0.020115,           0.0049506,            0.015506,            0.007624,            0.007624,            0.007624
                  26,            0.025221,           0.0085649,            0.011362,              0.9564,             0.74165,             0.92708,             0.72395,              0.0187,           0.0048115,            0.016405,            0.007525,            0.007525,            0.007525
                  27,            0.025892,           0.0082825,            0.011023,              0.9797,             0.76151,             0.95345,             0.76313,            0.018775,           0.0050137,            0.013452,            0.007426,            0.007426,            0.007426
                  28,            0.024562,           0.0082009,            0.010196,             0.86349,             0.88755,             0.95362,             0.69843,            0.024923,           0.0058305,            0.012405,            0.007327,            0.007327,            0.007327
                  29,            0.025061,           0.0083545,            0.011097,             0.86297,             0.82237,             0.95496,               0.765,            0.015856,           0.0051049,            0.015157,            0.007228,            0.007228,            0.007228
                  30,            0.024875,           0.0085036,            0.011016,             0.90204,             0.71706,             0.91725,             0.73698,            0.016526,           0.0050662,              0.0189,            0.007129,            0.007129,            0.007129
                  31,            0.024214,           0.0085701,            0.011055,             0.94097,             0.70224,             0.92151,             0.74756,             0.01506,           0.0048917,             0.02097,             0.00703,             0.00703,             0.00703
                  32,            0.023434,           0.0078319,             0.01051,             0.95834,             0.74007,             0.92056,             0.70987,            0.020288,           0.0054987,            0.020884,            0.006931,            0.006931,            0.006931
                  33,            0.023722,           0.0078404,           0.0087538,             0.84936,              0.7621,             0.94072,             0.77512,            0.015898,           0.0046632,            0.024096,            0.006832,            0.006832,            0.006832
                  34,            0.023401,             0.00827,           0.0093004,             0.90663,             0.74479,             0.93842,             0.72449,            0.023532,           0.0054537,            0.014342,            0.006733,            0.006733,            0.006733
                  35,            0.023761,           0.0079379,           0.0096732,             0.92118,             0.75626,             0.94312,             0.70792,            0.020939,           0.0053678,            0.012591,            0.006634,            0.006634,            0.006634
                  36,            0.021799,           0.0079437,           0.0090058,               0.911,             0.74372,             0.86454,             0.67924,            0.019548,           0.0054582,            0.015265,            0.006535,            0.006535,            0.006535
                  37,            0.022143,           0.0074949,           0.0093872,             0.82992,             0.73043,             0.85685,             0.66795,            0.021218,           0.0054429,            0.024603,            0.006436,            0.006436,            0.006436
                  38,            0.022564,           0.0077033,           0.0093573,             0.85936,              0.7432,             0.84323,             0.69736,            0.019367,           0.0052129,            0.019551,            0.006337,            0.006337,            0.006337
                  39,            0.021187,           0.0080936,           0.0096341,             0.82101,             0.74196,             0.93298,             0.70672,            0.016741,           0.0048449,            0.021969,            0.006238,            0.006238,            0.006238
                  40,            0.021266,           0.0076551,           0.0090334,             0.86074,             0.74812,             0.92686,             0.68341,            0.020924,           0.0052347,            0.018355,            0.006139,            0.006139,            0.006139
                  41,            0.020382,           0.0075182,           0.0076863,             0.85262,             0.74237,             0.93897,              0.6759,            0.019042,           0.0047784,            0.020204,             0.00604,             0.00604,             0.00604
                  42,             0.02126,           0.0077877,           0.0084405,             0.86541,             0.69676,             0.90459,             0.70555,            0.017555,            0.004145,            0.022521,            0.005941,            0.005941,            0.005941
                  43,            0.021757,           0.0075798,           0.0083666,             0.94215,             0.67235,              0.9181,             0.70028,            0.016898,           0.0044186,            0.019207,            0.005842,            0.005842,            0.005842
                  44,            0.020119,           0.0075137,           0.0066048,             0.89818,              0.7409,             0.93698,             0.72168,            0.016396,           0.0051862,            0.021616,            0.005743,            0.005743,            0.005743
                  45,            0.019996,           0.0073818,           0.0086526,             0.90637,             0.77425,             0.95452,             0.75326,            0.016589,           0.0049805,            0.021689,            0.005644,            0.005644,            0.005644
                  46,            0.018967,            0.007293,           0.0079709,             0.98085,               0.782,             0.94847,             0.75361,            0.016067,           0.0050657,             0.02002,            0.005545,            0.005545,            0.005545
                  47,             0.01982,           0.0075919,           0.0086743,             0.92014,             0.77924,             0.94694,             0.73733,            0.016116,           0.0051071,            0.016194,            0.005446,            0.005446,            0.005446
                  48,             0.01913,           0.0070698,           0.0084385,             0.90904,             0.71088,             0.85895,             0.54777,            0.025819,           0.0057591,             0.01744,            0.005347,            0.005347,            0.005347
                  49,            0.019592,           0.0075907,           0.0081524,             0.93818,             0.74472,             0.90687,              0.6853,            0.016874,           0.0049254,              0.0147,            0.005248,            0.005248,            0.005248
                  50,            0.019076,           0.0074649,           0.0076728,             0.88566,             0.74146,              0.8795,              0.6705,            0.020157,           0.0051397,            0.020149,            0.005149,            0.005149,            0.005149
                  51,            0.019404,           0.0069157,           0.0077735,             0.93434,             0.73891,             0.94204,             0.73015,            0.016607,           0.0050945,            0.017503,             0.00505,             0.00505,             0.00505
                  52,            0.018306,           0.0069065,           0.0066957,             0.95708,               0.743,             0.93918,             0.72928,            0.016758,           0.0050786,            0.015296,            0.004951,            0.004951,            0.004951
                  53,            0.018034,            0.007131,           0.0074015,             0.96415,             0.74515,             0.94432,             0.77295,            0.016223,           0.0051325,            0.013513,            0.004852,            0.004852,            0.004852
                  54,             0.01814,           0.0072652,           0.0068202,             0.92673,             0.73042,             0.94416,             0.76778,            0.013794,           0.0044123,            0.019848,            0.004753,            0.004753,            0.004753
                  55,            0.017684,           0.0069586,           0.0077896,             0.97407,             0.80246,             0.95501,             0.77595,            0.014301,            0.004586,            0.013606,            0.004654,            0.004654,            0.004654
                  56,            0.017414,           0.0069547,           0.0070217,             0.98881,             0.77581,             0.95004,             0.73691,            0.015788,           0.0045284,            0.023924,            0.004555,            0.004555,            0.004555
